conjecturer,""
conjectures,an opinion or conclusion formed on the basis of incomplete information.
conjecturing,form an opinion or supposition about (something) on the basis of incomplete information.
conjee,""
conjegates,""
conjobble,""
conjoin,join; combine.
conjoined,join; combine.
conjoinedly,""
conjoiner,""
conjoining,join; combine.
conjoins,join; combine.
conjoint,combining all or both people or things involved.
conjointly,""
conjointment,""
conjointness,""
conjoints,""
conjon,""
conjubilant,""
conjuctiva,""
conjugable,""
conjugably,""
conjugacy,""
conjugal,relating to marriage or the relationship between a married couple.
conjugales,""
conjugality,""
conjugally,""
conjugant,""
conjugata,""
conjugatae,""
conjugate,"give the different forms of (a verb in an inflected language such as Latin) as they vary according to voice, mood, tense, number, and person."
conjugated,"relating to or denoting double or triple bonds in a molecule which are separated by a single bond, across which some sharing of electrons occurs."
conjugately,""
conjugateness,""
conjugates,"give the different forms of (a verb in an inflected language such as Latin) as they vary according to voice, mood, tense, number, and person."
conjugating,"give the different forms of (a verb in an inflected language such as Latin) as they vary according to voice, mood, tense, number, and person."
conjugation,"the variation of the form of a verb in an inflected language such as Latin, by which the voice, mood, tense, number, and person are identified."
conjugational,""
conjugationally,""
conjugations,"the variation of the form of a verb in an inflected language such as Latin, by which the voice, mood, tense, number, and person are identified."
conjugative,""
conjugator,""
conjugators,""
conjugial,""
conjugium,""
conjunct,"joined together, combined, or associated."
conjuncted,""
luminists,""
